Area,Perimeter,MajorAxisLength,MinorAxisLength,AspectRation,Eccentricity,ConvexArea,EquivDiameter,Extent,Solidity,roundness,Compactness,ShapeFactor1,ShapeFactor2,ShapeFactor3,ShapeFactor4,Class
114858,1300.819,512.7366417,287.561719,1.783049022,0.827926189,115826,382.4156739,0.688712734,0.991642636,0.852977097,0.745832544,0.004464092,0.000852076,0.556266184,0.991849875,CALI
83203,1124.194,368.1338194,289.4455898,1.27185845,0.617907225,84723,325.4801835,0.809005698,0.982059181,0.827306285,0.884135514,0.004424526,0.001667715,0.781695606,0.994206163,BARBUNYA
67087,1017.039,383.655235,223.3964339,1.717374034,0.81298521,67725,292.263274,0.798844963,0.99057955,0.815028924,0.761786227,0.005718772,0.001187996,0.580318256,0.996623505,CALI
114004,1279.356,451.3612558,323.7479961,1.394174671,0.696795094,115298,380.9913399,0.748986604,0.988776909,0.875280258,0.844094027,0.00395917,0.001239788,0.712494726,0.9933421,BOMBAY
44322,814.909,302.1163116,188.5032824,1.602711146,0.781470053,45272,237.5553054,0.684509653,0.979015727,0.838708385,0.786304136,0.006816396,0.0016073,0.618274194,0.990914942,SIRA
37008,691.802,242.2470916,194.6144489,1.244753887,0.595477935,37288,217.0715299,0.79334591,0.992490882,0.971721592,0.896074865,0.006545803,0.002603274,0.802950163,0.999475336,SEKER
51737,838.558,294.5472348,224.105394,1.314324611,0.648931252,52387,256.658517,0.740687187,0.987592342,0.924580848,0.871366242,0.005693164,0.002024587,0.759279127,0.997939244,SEKER
55145,930.03,365.7450534,198.0564098,1.846671127,0.840691128,56953,264.9769701,0.78501573,0.968254526,0.801165223,0.724485451,0.006632425,0.001127122,0.524879169,0.969279207,HOROZ
34932,695.368,259.2660626,171.880631,1.508407673,0.748663009,35373,210.8952436,0.709149597,0.987532864,0.90782871,0.813431737,0.007422022,0.002004409,0.66167119,0.9980699,DERMASON
54095,964.821,382.5080261,181.164722,2.111382514,0.880727511,55099,262.4421711,0.585399375,0.981778254,0.730253242,0.686108926,0.007071042,0.000966575,0.470745459,0.99392373,HOROZ
47938,828.665,317.9398114,192.9005131,1.648206147,0.794915449,48607,247.0557777,0.721197533,0.98623655,0.87726698,0.777052036,0.006632313,0.001491575,0.603809866,0.995203133,SIRA
38896,726.873,241.0840446,205.7580533,1.171687041,0.521141611,39321,222.5397163,0.782175032,0.989191526,0.925119279,0.923079404,0.006198171,0.002775873,0.852075587,0.998365923,SEKER
25521,600.093,228.9876374,142.4219021,1.607811959,0.783046409,25829,180.2618829,0.732099828,0.988075419,0.890574857,0.787212292,0.008972518,0.002125502,0.619703193,0.996366204,DERMASON
82892,1101.387,423.5195825,250.0040237,1.694051065,0.807183223,83670,324.8713166,0.754331683,0.990701566,0.858702229,0.767075078,0.005109294,0.001091169,0.588404175,0.996786718,CALI
34207,668.737,228.0324687,191.4154535,1.191296024,0.543480298,34515,208.6952446,0.757730817,0.991076344,0.961200851,0.91519969,0.006666252,0.002884861,0.837590472,0.997818199,SEKER
41912,773.023,284.6662487,188.0211612,1.514011757,0.750828814,42456,231.0065276,0.710084034,0.987186735,0.88138046,0.811499532,0.006791999,0.001816898,0.65853149,0.997024419,SIRA
35546,703.958,265.1473831,171.1279084,1.54941053,0.763839079,35953,212.7406234,0.754820352,0.988679665,0.901378309,0.802348569,0.007459275,0.001906903,0.643763226,0.997453521,DERMASON
40098,718.837,248.4775273,205.7908678,1.207427375,0.56042207,40356,225.9521172,0.796084893,0.993606899,0.975150683,0.909346288,0.006196756,0.002613734,0.826910672,0.998434582,SEKER
168532,1539.35,573.7944065,376.7821062,1.522881254,0.754195437,169925,463.2295402,0.788730549,0.991802266,0.893752947,0.807309264,0.003404661,0.0008921,0.651748248,0.99253519,BOMBAY
