Area,Perimeter,MajorAxisLength,MinorAxisLength,AspectRation,Eccentricity,ConvexArea,EquivDiameter,Extent,Solidity,roundness,Compactness,ShapeFactor1,ShapeFactor2,ShapeFactor3,ShapeFactor4,Class
45628,777.737,265.0395503,219.313577,1.208495862,0.561502698,46097,241.0298196,0.776977437,0.989825802,0.947928926,0.909410763,0.005808704,0.002450752,0.827027936,0.999459838,SEKER
41169,742.126,270.2141119,194.1998311,1.391423002,0.695331964,41553,228.9497736,0.758875576,0.99075879,0.93934448,0.847290217,0.006563534,0.002086634,0.717900712,0.998903564,SEKER
42023,746.715,272.9626858,196.3340474,1.390297248,0.694729975,42365,231.3122249,0.795347869,0.991927298,0.947081092,0.847413353,0.006495554,0.002066223,0.718109391,0.998385511,DERMASON
69589,994.969,376.5211208,237.2792032,1.586827314,0.776442343,70481,297.6633445,0.758397088,0.987344107,0.883347044,0.790562144,0.005410641,0.001303685,0.624988504,0.991748829,CALI
62741,957.314,365.7572805,221.4077453,1.651962446,0.795966527,63687,282.6381472,0.756845762,0.985146105,0.860305066,0.772747837,0.005829637,0.001282249,0.597139219,0.986451565,CALI
49392,883.377,361.2987548,175.7403321,2.055867031,0.873729138,50089,250.7744955,0.637233905,0.986084769,0.795379331,0.694091779,0.007314925,0.001047267,0.481763398,0.990441486,HOROZ
43752,771.484,283.6548137,196.593161,1.442851889,0.72086853,44112,236.0228306,0.772212221,0.991838955,0.923748885,0.832077649,0.006483242,0.001917023,0.692353214,0.998963143,SEKER
48436,831.069,316.266048,195.6102923,1.61681701,0.785785442,48994,248.3357215,0.796120973,0.98861085,0.881259819,0.785211448,0.006529566,0.001531125,0.616557018,0.996859875,SIRA
40044,723.751,262.6894735,194.2903007,1.352046255,0.673025073,40340,225.799921,0.781803983,0.99266237,0.960658353,0.859569735,0.006560021,0.00220907,0.738860129,0.99897307,SEKER
42070,763.489,289.0223734,186.1234339,1.552853218,0.765045803,42556,231.4415426,0.768823099,0.988579754,0.906936347,0.800773794,0.006870035,0.001742521,0.64123867,0.995749532,DERMASON
