Area,Perimeter,MajorAxisLength,MinorAxisLength,AspectRation,Eccentricity,ConvexArea,EquivDiameter,Extent,Solidity,roundness,Compactness,ShapeFactor1,ShapeFactor2,ShapeFactor3,ShapeFactor4,Class
49914,898.429,362.1192665,177.6862916,2.037969634,0.871337348,50702,252.0961694,0.602738734,0.984458207,0.777078181,0.696168894,0.007254864,0.001051157,0.48465113,0.987704285,HOROZ
48416,870.972,358.1162752,173.2700919,2.066809518,0.875157843,49103,248.2844453,0.619764465,0.986009001,0.802029575,0.69330679,0.007396651,0.001054185,0.480674305,0.99346223,HOROZ
64456,957.016,357.0359673,230.7953004,1.546981099,0.76298151,65050,286.4750043,0.745587045,0.990868563,0.884371661,0.802370155,0.00553922,0.001416209,0.643797865,0.995943129,CALI
33225,681.994,261.0509686,162.741426,1.604084314,0.78189621,33571,205.6778643,0.705473926,0.989693485,0.897663871,0.787883935,0.007857065,0.001867622,0.620761095,0.995753135,DERMASON
63628,997.39,400.7841514,204.0339664,1.964301133,0.860715118,64287,284.6290318,0.62258317,0.989749094,0.803763198,0.710180357,0.006298865,0.000988363,0.50435614,0.990707337,HOROZ
32578,657.571,227.037574,182.8423057,1.241712486,0.592813998,32901,203.6654067,0.781922043,0.990182669,0.946779791,0.89705595,0.006969046,0.002783756,0.804709378,0.999217682,SEKER
39170,748.606,290.2576325,172.1830428,1.685750396,0.805049505,39644,223.322173,0.806564533,0.988043588,0.878328203,0.769392939,0.007410203,0.001601779,0.591965495,0.997906068,DERMASON
74788,1058.364,415.3324881,230.726488,1.800107528,0.831501592,75500,308.5823052,0.738508329,0.990569536,0.839018748,0.742976565,0.005553464,0.001043865,0.552014176,0.993684873,CALI
35488,691.797,258.2556492,175.2882179,1.473320068,0.73437945,35852,212.5669894,0.722710981,0.989847149,0.931824317,0.823087472,0.007277267,0.002060307,0.677472986,0.998134546,DERMASON
43673,806.661,290.7959339,193.1948458,1.505195093,0.747407659,44349,235.8096492,0.720569552,0.984757266,0.843413928,0.810911095,0.006658483,0.001776021,0.657576804,0.989781379,SIRA
42238,765.308,283.3113131,190.644562,1.486070781,0.739719397,42778,231.9031951,0.727614126,0.987376689,0.906234734,0.818545481,0.006707498,0.001857426,0.670016705,0.995692247,SIRA
37027,698.113,245.1813265,192.4378701,1.274080442,0.619648047,37328,217.1272452,0.78626943,0.991936348,0.95472202,0.88557823,0.00662169,0.002512212,0.784248802,0.99919606,SEKER
67422,987.36,384.0268967,225.8931572,1.700037759,0.808699332,68542,292.992076,0.762433563,0.983659654,0.869081364,0.762946758,0.005695869,0.001190465,0.582087756,0.989571164,CALI
34728,686.081,250.8484378,176.6801865,1.419788165,0.70987228,35055,210.2785365,0.717654109,0.990671801,0.927126196,0.838269269,0.007223233,0.002200116,0.702695367,0.997678565,DERMASON
42065,761.073,279.4033065,192.1554856,1.454048037,0.725961646,42566,231.4277888,0.740776614,0.988230043,0.912595088,0.828292949,0.00664218,0.001928529,0.68606921,0.997577588,SIRA
38819,730.463,249.1774369,198.9668858,1.25235632,0.602001716,39314,222.3193331,0.780281407,0.987409065,0.914234829,0.892212938,0.006418956,0.002509101,0.796043927,0.996930643,SEKER
29667,662.939,254.3430983,148.6025845,1.71156578,0.811566299,30063,194.3532803,0.703459559,0.986827662,0.848274395,0.764138212,0.008573267,0.001803075,0.583907207,0.999395593,DERMASON
47139,812.169,306.9829506,196.2988093,1.563855388,0.768836582,47658,244.9882424,0.697487571,0.989109908,0.898043579,0.798051624,0.006512292,0.001629437,0.636886395,0.995998221,SIRA
40750,727.315,258.1950891,201.0769183,1.2840613,0.627298365,41009,227.7817189,0.781894583,0.993684313,0.968037961,0.88220779,0.006336076,0.002367466,0.778290584,0.999372819,SEKER
26496,604.717,220.7736963,153.5778553,1.437536003,0.718395638,26830,183.6729566,0.731045139,0.987551249,0.910512314,0.831951268,0.008332341,0.002462285,0.692142913,0.994980356,DERMASON
51802,871.723,337.3720652,196.1783294,1.719721369,0.813553875,52370,256.8196934,0.792988902,0.989154096,0.856642037,0.761235798,0.006512723,0.001349022,0.579479941,0.996544037,SIRA
67044,981.016,376.8722117,228.2517453,1.651125213,0.795732996,67723,292.1695946,0.800401132,0.989973864,0.87542229,0.775248441,0.005621267,0.0012525,0.601010146,0.992343005,CALI
42876,776.816,294.5524699,185.801991,1.585303087,0.775950173,43305,233.6480659,0.760779304,0.990093523,0.892869118,0.793230714,0.006869868,0.001677746,0.629214965,0.997496427,SIRA
38010,713.114,239.8470136,202.0040737,1.187337509,0.539133208,38445,219.9905341,0.752613654,0.988685135,0.939268609,0.917211896,0.006310103,0.002754831,0.841277662,0.998880524,SEKER
45336,807.124,311.8727363,185.7511412,1.678981536,0.803281791,45813,240.257337,0.817616188,0.989588108,0.874525628,0.770369799,0.006879141,0.001494552,0.593469626,0.996424545,SIRA
36567,701.394,259.0980015,180.224362,1.437641385,0.718445011,36981,215.7743044,0.79381309,0.988805062,0.934060707,0.832790308,0.007085569,0.002102312,0.693539696,0.99706137,DERMASON
42026,775.61,282.6605008,190.1728942,1.486334328,0.739827921,42503,231.3204814,0.707329799,0.988777263,0.877892059,0.818368611,0.006725848,0.001860898,0.669727183,0.995438503,SIRA
39631,740.396,268.2960268,188.6837678,1.421934859,0.710925728,40053,224.6324919,0.761183136,0.98946396,0.908482921,0.837256125,0.006769853,0.002052071,0.70099782,0.996773236,SIRA
40695,758.057,285.3585761,182.1732841,1.566412867,0.769703702,41207,227.6279492,0.689593818,0.987574927,0.889912264,0.797690935,0.007012129,0.001751331,0.636310827,0.996725467,SIRA
41249,764.183,287.4813767,183.4384285,1.567181855,0.769963409,41769,229.1721143,0.731365248,0.987550576,0.887622994,0.797172036,0.006969414,0.001736138,0.635483255,0.995917826,SIRA
